Country,Year,Medal
China,1992,No medal
China,2012,No medal
Finland,2000,No medal
Finland,1996,No medal
Finland,2000,No medal
Finland,2000,No medal
Norway,2008,Gold
Romania,2016,No medal
Norway,2000,No medal
Norway,2004,No medal
Netherlands,1984,No medal
Netherlands,1988,Bronze
Netherlands,1996,Silver
Netherlands,2000,No medal
Finland,1992,No medal
Finland,1996,No medal
France,2012,No medal
Netherlands,1996,No medal
Netherlands,1996,No medal
Netherlands,1996,No medal
Netherlands,2000,No medal
Netherlands,2000,No medal
Norway,1996,Bronze
Norway,1992,No medal
Morocco,2012,No medal
Estonia,2004,No medal
Estonia,2008,No medal
Estonia,1992,No medal
Estonia,1996,No medal
Spain,2016,No medal
Spain,2016,No medal
Spain,2016,No medal
Spain,2016,No medal
Spain,2016,No medal
Spain,2016,No medal
Egypt,2000,No medal
Spain,2016,No medal
Bulgaria,1988,No medal
Italy,2016,Bronze
Spain,2008,Bronze
Chad,1992,No medal
Azerbaijan,2016,Bronze
Russia,2008,Silver
Russia,2012,No medal
Argentina,2000,No medal
Argentina,2000,No medal
Spain,2008,No medal
Cuba,2000,No medal
Cuba,1992,No medal
Cuba,1992,No medal
Belarus,2004,No medal
Belarus,2008,Gold
France,2008,Gold
France,2012,Gold
France,2016,Silver
Argentina,2012,No medal
Greece,2004,No medal
Cameroon,2000,Gold
Turkey,1996,No medal
Spain,1996,Gold
Greece,2004,No medal
Mexico,2000,No medal
Chile,1992,No medal
United States,2004,Silver
Spain,1980,Gold
Spain,1984,No medal
Spain,1980,No medal
Spain,1984,Bronze
Soviet Union,1980,No medal
Chile,1984,No medal
Russia,2004,Silver
Russia,2004,No medal
Italy,2012,No medal
Italy,2008,No medal
France,2004,No medal
France,2008,Gold
Chile,1984,No medal
Greece,2004,No medal
Nicaragua,2004,No medal
Hungary,1992,Silver
Algeria,2012,No medal
Algeria,2016,No medal
Italy,1988,Gold
Italy,1996,Gold
Italy,2000,Gold
Italy,1984,Gold
Italy,1988,Gold
Italy,1992,Silver
Italy,1996,No medal
Italy,1980,No medal
Italy,1984,Gold
Italy,1988,Gold
Italy,1992,Silver
Kuwait,1980,No medal
Bahrain,2016,No medal
Pakistan,1996,No medal
Iraq,2004,No medal
Kuwait,1980,No medal
Pakistan,1992,No medal
Lebanon,1988,No medal
Lebanon,1988,No medal
Egypt,2000,No medal
Iraq,2004,No medal
Qatar,2004,No medal
Pakistan,2000,No medal
Pakistan,2004,No medal
Pakistan,2012,No medal
Malaysia,1984,No medal
Pakistan,2004,No medal
Pakistan,2008,No medal
Pakistan,2012,No medal
Iran,2012,No medal
Azerbaijan,2008,No medal
Azerbaijan,2008,No medal
Azerbaijan,2000,No medal
Italy,2012,No medal
Italy,2000,No medal
Netherlands,2016,No medal
Italy,2000,No medal
Iraq,2016,No medal
Canada,1996,No medal
Canada,2000,No medal
Ireland,2016,No medal
Ireland,2016,No medal
Australia,2008,Bronze
South Africa,2008,No medal
Canada,1996,No medal
Canada,2008,No medal
